"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"238",9.48482597840025e-243,2.32107132350886,0.65,0.255,3.47154115635427e-238,"4","PREX2"
"239",4.88936037505727e-150,2.29674699669512,0.38,0.111,1.78955479087471e-145,"4","TEK"
"240",3.38735559188902e-119,2.2822772722304,0.409,0.158,1.2398060201873e-114,"4","MYRIP"
"241",2.76457241536277e-104,2.27687381478687,0.322,0.107,1.01186114974693e-99,"4","CACHD1"
"242",7.57559874667303e-165,2.270937462302,0.547,0.23,2.7727448972698e-160,"4","PKP4"
"243",8.84120133768918e-231,2.24079344838973,0.706,0.323,3.23596810160762e-226,"4","PLCB1"
"244",1.25685705952806e-161,2.23826421105073,0.409,0.122,4.60022252357865e-157,"4","CCSER1"
"245",1.80427127317302e-235,2.22484501540833,0.537,0.152,6.60381328694057e-231,"4","PALMD"
"246",1.20109563720349e-228,2.22013110373147,0.676,0.288,4.39613014172851e-224,"4","TSHZ2"
"247",4.78064033485483e-207,2.21434927348185,0.561,0.196,1.74976216896022e-202,"4","PLEKHG1"
"248",4.15122318314072e-138,2.20431113741166,0.387,0.125,1.51938919726133e-133,"4","FNBP1L"
"249",1.74249086963972e-139,2.20114235987023,0.434,0.154,6.37769083196833e-135,"4","PIK3R3"
"250",1.36686315640741e-138,2.18944651598336,0.37,0.113,5.00285583876677e-134,"4","ICA1"
"251",0,4.38889191544964,0.33,0.019,0,"5","CLDN10-AS1"
"252",0,4.31443607529776,0.561,0.048,0,"5","CPAMD8"
"253",0,4.04280695737592,0.294,0.02,0,"5","SULT1B1"
"254",0,4.00173026113146,0.639,0.071,0,"5","AC084740.1"
"255",0,3.94526186645934,0.469,0.064,0,"5","CRTAC1"
"256",0,3.89353942747371,0.733,0.102,0,"5","AC093817.2"
"257",0,3.83263448967649,0.363,0.025,0,"5","F5"
"258",4.53851181218472e-297,3.7108211947214,0.393,0.058,1.66114070837773e-292,"5","EDN1"
"259",0,3.60496742157475,0.636,0.12,0,"5","BMP6"
"260",0,3.44369992914426,0.51,0.057,0,"5","ST8SIA6"
"261",0,3.43078357452962,0.389,0.038,0,"5","FAM189A1"
"262",0,3.41106029306956,0.459,0.051,0,"5","BMX"
"263",4.32229419415129e-273,3.40321009730541,0.26,0.022,1.58200289800132e-268,"5","MOV10L1"
"264",4.05333519860591e-207,3.31884104381672,0.471,0.135,1.48356121604175e-202,"5","LINC00607"
"265",0,3.26284101788529,0.419,0.036,0,"5","SELP"
"266",0,3.23644301971294,0.39,0.03,0,"5","MPZL2"
"267",0,3.22194907575324,0.431,0.049,0,"5","GRB14"
"268",0,3.1302993772554,0.372,0.044,0,"5","AC019197.1"
"269",0,3.1289729909833,0.444,0.057,0,"5","GJA5"
"270",2.78108863259001e-270,3.10424514048262,0.343,0.045,1.01790625041427e-265,"5","AC004540.1"
"271",0,3.08471955702791,0.334,0.034,0,"5","NOS3"
"272",5.65021857829075e-277,3.04957171701822,0.34,0.043,2.0680365018402e-272,"5","SH3RF2"
"273",2.73365788118843e-265,2.97922561193336,0.38,0.059,1.00054612109378e-260,"5","PTGS2"
"274",4.39681148667251e-298,2.9680855075491,0.434,0.071,1.60927697223701e-293,"5","AC008050.1"
"275",0,2.92931357126836,0.553,0.105,0,"5","SMAD6"
"276",0,2.91656674214655,0.49,0.088,0,"5","PLA2G4A"
"277",0,2.90255431032133,0.786,0.202,0,"5","ANO2"
"278",1.19568888955826e-250,2.85676159465163,0.412,0.076,4.37634090467217e-246,"5","SLC4A4"
"279",0,2.84508394006247,0.843,0.206,0,"5","PTPRB"
"280",1.79784996758915e-236,2.83925241537217,0.381,0.068,6.58031066637305e-232,"5","CDH23"
"281",0,2.82912418918584,0.73,0.181,0,"5","HMCN1"
"282",0,2.79967411254277,0.908,0.34,0,"5","MECOM"
"283",3.72662150567159e-202,2.76350170589785,0.279,0.04,1.36398073729086e-197,"5","KIAA1549L"
"284",0,2.71460087125654,0.729,0.214,0,"5","PLXNA2"
"285",3.60995563800167e-212,2.70306919503751,0.411,0.089,1.32127986306499e-207,"5","PCDH11X"
"286",0,2.68749140042736,0.793,0.23,0,"5","VWF"
"287",6.68116372970387e-259,2.68605627828294,0.341,0.047,2.44537273670891e-254,"5","TMC7"
"288",4.05332745844528e-186,2.64999706013434,0.26,0.037,1.48355838306556e-181,"5","HYAL2"
"289",7.24250161264936e-205,2.64803277312544,0.262,0.034,2.65082801524579e-200,"5","KIAA1211L"
"290",4.25206349107719e-240,2.63153518424005,0.317,0.043,1.55629775836916e-235,"5","LTC4S"
"291",1.19835714845725e-222,2.61250540910949,0.749,0.399,4.38610699906837e-218,"5","GMDS"
"292",6.20239538589338e-160,2.59069520536765,0.631,0.303,2.27013873519083e-155,"5","MGP"
"293",3.48864252304066e-205,2.56050712744346,0.307,0.048,1.27687804985811e-200,"5","CXCL2"
"294",6.89908609544014e-204,2.55905047099906,0.277,0.038,2.52513450179205e-199,"5","CPNE5"
"295",2.35056832531408e-175,2.53652790605617,0.283,0.048,8.60331512748207e-171,"5","ARNT2"
"296",2.10704720324475e-299,2.50930740005578,0.572,0.132,7.71200346859609e-295,"5","DKK2"
"297",0,2.48692108436827,0.608,0.129,0,"5","PIK3C2B"
"298",5.52075603215051e-200,2.45005739659292,0.303,0.048,2.02065191532741e-195,"5","ASS1"
"299",2.03498200647706e-241,2.44703479935988,0.341,0.05,7.44823764190669e-237,"5","SEMA3F"
"300",0,2.39580643390266,0.563,0.107,0,"5","EFNB2"
"301",2.2618339961784e-296,3.20338375467926,0.418,0.054,8.27853860941257e-292,"6","ITGA11"
"302",9.71367165819707e-123,2.86418562384767,0.301,0.068,3.55530096361671e-118,"6","KCNQ5"
"303",2.27498629917948e-188,2.73456894441218,0.705,0.303,8.32667735362681e-184,"6","COL1A1"
"304",3.81674887216247e-186,2.68635188359341,0.418,0.088,1.39696825470019e-181,"6","TBX2"
"305",1.12647570597686e-188,2.63119200421901,0.432,0.095,4.12301373144592e-184,"6","THBS2"
"306",3.00641127612788e-174,2.57079061127108,0.534,0.168,1.10037659117556e-169,"6","SUGCT"
"307",2.7472281319184e-127,2.52254582106991,0.254,0.046,1.00551296856345e-122,"6","LINC00670"
"308",8.88984609226802e-160,2.48122444215801,0.626,0.25,3.25377256823102e-155,"6","POSTN"
"309",1.77721021165353e-127,2.47905949904196,0.312,0.068,6.5047670956731e-123,"6","ID4"
"310",3.51791955416016e-168,2.47572415675034,0.431,0.106,1.28759373601816e-163,"6","INHBA"
"311",6.8392862309725e-201,2.47528803197935,0.705,0.3,2.50324715339824e-196,"6","ITGA1"
"312",1.70702892668855e-229,2.44439355110769,0.91,0.613,6.24789657457276e-225,"6","FN1"
"313",8.59520270433282e-82,2.36248696101529,0.282,0.082,3.14593014181286e-77,"6","NRG3"
"314",8.01911640390828e-165,2.35796450574893,0.467,0.128,2.93507679499447e-160,"6","SLC24A3"
"315",2.38925178998145e-118,2.32363955038437,0.338,0.086,8.74490047651109e-114,"6","PDGFA"
"316",1.97193514452539e-197,2.31036126162831,0.667,0.232,7.21747982247736e-193,"6","VCAN"
"317",1.55698566362199e-188,2.29578199782527,0.686,0.268,5.69872322742283e-184,"6","COL18A1"
"318",1.2618336683374e-58,2.28864210676242,0.459,0.228,4.61843740948172e-54,"6","TIMP1"
"319",4.23771251363323e-157,2.28208064702362,0.454,0.123,1.5510451571149e-152,"6","SEMA5A"
"320",4.94733887508889e-168,2.27834799915529,0.508,0.144,1.81077550167128e-163,"6","COL27A1"
"321",8.30246395819033e-166,2.2331848927402,0.763,0.404,3.03878483333724e-161,"6","COL1A2"
"322",1.23838786939795e-93,2.2278243895725,0.262,0.063,4.53262344078343e-89,"6","FKBP10"
"323",2.53137128764005e-121,2.21860463083899,0.254,0.048,9.26507204989135e-117,"6","SPRY4-AS1"
"324",1.30176179547359e-143,2.20325050913943,0.429,0.118,4.7645783476129e-139,"6","ADAMTS2"
"325",1.27105092467444e-140,2.19897521714347,0.502,0.167,4.65217348940092e-136,"6","COL5A1"
"326",3.68749679960613e-178,2.19681350074327,0.58,0.184,1.34966070362384e-173,"6","SGIP1"
"327",6.88294279117849e-156,2.1401539122419,0.602,0.232,2.51922589099924e-151,"6","MICAL2"
"328",1.95672496328792e-135,2.13888994086889,0.5,0.163,7.16180903813011e-131,"6","ITGA8"
"329",9.58634608540991e-88,2.13122849938846,0.617,0.327,3.50869853072088e-83,"6","TAGLN"
"330",1.61754526766538e-166,2.11955119050796,0.619,0.219,5.92037743418206e-162,"6","AEBP1"
"331",1.96205397224767e-147,2.11477136652124,0.571,0.208,7.18131374382369e-143,"6","ITGBL1"
"332",7.72302744499872e-92,2.09585514249412,0.424,0.164,2.82670527514398e-87,"6","DDAH1"
"333",2.70688308788775e-85,2.09549003708794,0.438,0.178,9.90746278997797e-81,"6","BGN"
"334",7.39705994241632e-122,2.09242812204084,0.642,0.304,2.7073979095238e-117,"6","SERPINE1"
"335",8.83257117047072e-220,2.05792130946797,0.814,0.382,3.23280937410399e-215,"6","CACNA1C"
"336",1.33344607485658e-83,2.05060970014013,0.258,0.067,4.88054597858256e-79,"6","AP002026.1"
"337",1.7740346252418e-82,2.05031528782691,0.251,0.064,6.4931441318475e-78,"6","ARSJ"
"338",3.28381706620512e-84,2.04354187546971,0.28,0.077,1.20190988440174e-79,"6","MICALL2"
